Name,Foster Type,Location,Link,Image,Children,Dogs,Cats,Home Alone,Activity,Breed,Gender,Age,Weight
Bangle and Barcelona,"
                                                        Core Foster
                                                    ",Medical Center,/pet-available-for-fostering/showdog/bangle-and-barcelona,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/37d2c8d22bf74182b39517e7078a6c8f.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271640234688000.jpg&response-content-type=image%2Fjpeg&Expires=1640692800&Signature=JCm~8nJFtgtCQ9tWTMFrkQQccJYfwV1U3tcozqpqmWmFLGi1n1cSazEGEs8su6n2VD4A7wSl--lo1VBgi3oDztp8q4OQgL2UoOgWGyvbsBwyX~pvZdtkzgo5mdp2EvXJPl8z-CinQdI3kzkP3ogDAtv~GelMj2oZ~UAEBUNjzY47S25efWKXnO2EUErkyaziqJ7tWBdQrpYQ-lqIMzgBkuoo3ghocyPK1QrdaCuOkQsgzbIut4f~gUcW7FSlwl1R2eg9qKrPhSR~4MxYOOHcCYaowPTu1hw3qccDK-IMqDFiD8QITqBapIJo0PffQYovuzgDMNl9cfi6z~Qk3CrAqw__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,0.0,0.0,0.0,0.0,0.0,Mixed Breed (Medium),Female,4 Months,12.66lbs
Warwick,"
                                                        Core Foster
                                                    ",Medical Center,/pet-available-for-fostering/showdog/warwick,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/57674ea80a4f463393640df961d2b9ff.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271640234691000.jpg&response-content-type=image%2Fjpeg&Expires=1640692800&Signature=TZWMhVVfixYi6JBMS1j~ThoWaq-Gp16SEI8nDoluTqhoLG978K3Aktw3KTEE5y16KyrkjSzYp9fcJ915ZTUXa8Qi6YwsaiTzdK5oVpAPPnaDtF1fNli9bZ9b8kCwACtESs24tb9Hjzv0JXMRwtB4Fb2bmVGm9siY7hfOvBCDgleBVTkcWU8RDE50BiWtKgpsTeDEHLDTpXpqe4LA-0B~U0dv0yIEQXgxMf5uj1ZWS1x6NuHmH73zfthEMJdjtp2G6A4Fpz5NOW2XHpbBvuktqbM-6RBTEad-5xPN5sZu3T17Z5RqO6TKPX0y9jPGaaT1XgKg3H4YlWTXXBoVwhvOIw__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,0.0,0.0,0.0,0.0,0.0,Shih Tzu,Male,5 Years,15.31lbs
Yolanda and Yoda,"
                                                        Core Foster
                                                    ",Medical Center,/pet-available-for-fostering/showdog/yolanda-and-yoda,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/618e9efa6b134a6c91340454a25b9d09.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271640234688000.jpg&response-content-type=image%2Fjpeg&Expires=1640692800&Signature=fNB0b-1VXrEUZgbcldlM~wT820oMpTZqRa1y5T08XJZ-SZ5FEgFjmBc1RlMXLnSZjMzXkZWTlHbBBVl1cm5s5hPDh24RwuhXk-PdpNelDImkRrZz18uk9wVxzv04U~v9azFxtZYijQZ7yBp72mRiYJekJfDCmy50dU3st5MTp1rp5jDDVG~ZJI1ieE~w-jZfTrrTk4i1h~-tVbgpVMqiwasKGmhDAj70AIvwpU4T7Yb0C5dX~RhNudC2-ZMP1qU3QTvTK5-2xhfb~BuFAkxvWPJVuEY9wMBoNFMCnaGyp1dEp4Ko2GoXVmstb8XP7VphI002MHBr78iBUlEfAAJV9A__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,0.0,0.0,0.0,0.0,0.0,Mixed Breed (Medium),Female,2 Months,13.75lbs
Denzel,"
                                                        Core Foster
                                                    ",Medical Center,/pet-available-for-fostering/showdog/denzel,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/84648fc7fa7146b395c8bc54844ed07c.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271640234687000.jpg&response-content-type=image%2Fjpeg&Expires=1640692800&Signature=Pbf2QnjBfDGzfvvZAUetl-nsCI5tltBOtgyN1xptEE~NugtGrtQiNnGVm5tjIl7PBG7PdfUy~7tLllc~FeM615jpUfGHemhIoocZTp9-EX27Re1zUcVuE5GIin5RqTzu1ssCkWndG35vboi~xF7lufY2QS7j8U7M7ZVSuAkMMqWFuzx0b5TyuHj1qtPSGa4qP1No6MoxRME0Pqmb3Rz0QKYR1TtSfeIvkCRKRXUa0ZFOT2uYhncaXYBILocii7oSC7YEloM0wjHiIxCQnaCfr7~qCpqcNAh~X69I~eZ~PTI0H-qVSdlW7THQ7hdbgl-jt8G4fvSJJE3xNVI-Xx8JIQ__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,0.0,0.0,0.0,0.0,0.0,Mixed Breed (Large),Male,4 Months,32.81lbs
Juniper,"
                                                        Core Foster
                                                    ",Medical Center,/pet-available-for-fostering/showdog/juniper-1,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/8b3e890c0c1649f38ad6bd1aebe819d1.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271638666127000.jpg&response-content-type=image%2Fjpeg&Expires=1640692800&Signature=K1lpEkCRH3ll6uqBmp3xu-Ud-WDUKIgFXl2esL-sQdvOwrqvNvV6HhliOugz424kT34jpehMrTOyVDHSoGuCHE1pAYd7kMXfxZYCI6M8mUqaWX64W1oYVY0CbzkMHgocQXgaTt0Aa66wc9HEmtFmYwe~ZNAZdbtLdw9FsaoZJTQPmBY9dVddghWwKFvsv-7ry7Oy1XSep9x5I3LNpbjOH-zyWp5ncjdZMtZzTv56Phs0PAfDNmyYytj3lLn0u5NYDLeYW1s3TngxebmXneSdiF2dCWu4GONwmXcjql4S5A7Low2Naw7fJ8Pk5Sub-x070-OxUV9YswpSj583liAN8Q__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,0.0,0.0,0.0,0.0,0.0,Mixed Breed (Medium),Female,1 Year,49lbs
Neil,"
                                                        Advanced Foster
                                                    ",Lincoln Park Adoption Center,/pet-available-for-fostering/showdog/neil,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/97840420bdb8459f908f5c3b98eb125f.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271634178031000.jpg&response-content-type=image%2Fjpeg&Expires=1640736000&Signature=IbicQ1Pngc7sfQcyGi-AMXB-mut6~O2lXdXRipc44rOy2jxhWzzKacLBheptXk6jAcVCj4ftRazDmwYBr3GQ8HShVcwIiH2HW8tJTdmo3s6UF5W8avyJcAoYVGIRoO9pr8~rRQSUBin0FrMceXzvcTpwZ5sruuucArFIAnSnOyHwuCxR8Bs3S2ap7OUB40gV5cXnedS8hkOMVA0f121gFUBqNZDH0GGxGqQ2EnecNwmlY56k9HuEcuvvNT1gEogTD4Z2bs1mPpqvTcACdnKp5TpwNgK2U1v~98Py4iLQxvEr480vRXrW4rn-ex6jceJ9QzVHEdgpLgn4RAY-PH01qA__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,1.0,3.0,4.0,1.0,3.0,"Beagle, None",Male,5 Years,58.13lbs
Mary Kate,"
                                                        Advanced Foster
                                                    ",Foster Home,/pet-available-for-fostering/showdog/mary-kate-1,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/ab3abfb2e56e44a492f5b8d3f36f2979.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271636410291000.jpg&response-content-type=image%2Fjpeg&Expires=1640736000&Signature=VAHnkaZ8dM42S3z6NexrQ19t30ogf9ApKeSatOh2PEO9Eb-XABde4oyEon86CFXQq~DC-rQRHWkxN5q81HmhkAuk8Y9NPXiLqYCAd4bkTmS7WSaxvYRuVaV9j3iNrgrss5FqdOKgBhB1Q5f4kl2Vrf2Wg0lPQqzdkx2ex5UUZiq5DAyaMXHgF2pqRWjms-LsWwlUsh5CuOsUJyVwRJ9uBy1oViN9ii5Sf2jYtLBjoB2JNN3q0-J3TKfGR1YqV98MVE-uou5rTNnIGxH7ER113GZ7mI6yMQib1699hRho33KggsI6~1FFg2LNLfW2GN4FaOqEPfZE0SDpfYDkjf0nCw__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,1.0,1.0,1.0,4.0,4.0,"Terrier, Mix",Female,1 Year,44.6lbs
Alabaster,"
                                                        Advanced Foster
                                                    ",Lincoln Park Adoption Center,/pet-available-for-fostering/showdog/alabaster,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/c233af4e5b504dda8c6ebe78263f05ad.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271636127487000.jpg&response-content-type=image%2Fjpeg&Expires=1640736000&Signature=cDuA5EkuZUTLPd~BAURK-vFNxoZVNIqzo37svwLHrRAiCLYE2G7b7aRxBtZurYevEl7AW78DrZ-gYN8ozv7q7XKkc5jDe35wr5BYEhuLv2F4nnC8D48uNI7XtZyOqVEjF3q1vLB-ZClWA2HOxJS13j~O2RpFAh~n6ALWgzEZ5RhpvufH7yQYrLA-aAZRciRQZ9M14ip1wRt3ZoNZjXfDgB7svumSjlRnTXmZoGnMLfuJO2Ios8WikPPs4NoFUWRLEjMxXGzNsch~w~fgCh7wCT6Tc0~wawt-7IhjZ7AfpY00PxCB90~D6GwsXWA8dIuyqYlY1n5oXDZNtLxLqa9iHA__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,2.0,2.0,1.0,4.0,4.0,Mixed Breed (Large),Male,4 Years,80.25lbs
Pez,"
                                                        Advanced Foster
                                                    ",Foster Home,/pet-available-for-fostering/showdog/pez,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/69be25303886461b984eb9316468b36e.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271630424099000.jpg&response-content-type=image%2Fjpeg&Expires=1640736000&Signature=B9N6v4luREPaSteK~IFe6VxNt~eB8N0HO9QIbZcU351hfoNfU-F7eg386GBQ~YzKFaNKJfz820x5aFef9TftHUUGYY8wgViK9NwQ8LbXXpp2EiPEmagKStowyTaMy7IdRoJP0HHsY96mFUN1ijGeHNwWk-5TxWvwymhOlh3kovMqnvardDhUNIn0QV54IZKvIm3IdgY-u0Nkp1eqveEvLL1o4tglEiuq40KsvIJqu5C7NoIdxa3e-7KIjCaSNKE9PGB6AYshP8gEyPwfO5pNt8TpGr0swaOtKYOrO9HZioylg5osqmPQzZn0T8Te~jYFPefs6emB-ZvarDsoeSR22A__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,1.0,3.0,0.0,3.0,3.0,"Terrier, Mix",Male,3 Years,12.2lbs
Delia,"
                                                        Advanced Foster
                                                    ",Lincoln Park Adoption Center,/pet-available-for-fostering/showdog/delia,https://d3opzdukpbxlns.cloudfront.net/11c52399-becb-46a2-b6cf-c14666c3f432/af33f27f1e734a6ea44c52f825bb9196.thumbnail?response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%271639775196000.jpg&response-content-type=image%2Fjpeg&Expires=1640736000&Signature=N7SrEDV0Cq8xq9cx-ZL148wOggAvP885ZrIL9ALn~rnuXfuJO~GAWlkuKiFBQeFjQsLAQ3Mco252EF92h9~-Q~FCr3b16znWc8yxCRBj4Uqb7vqEfixNEwiyljZvNkgmn~Dbso~adqeGZ79K2f9yeFjlqlKsdAvXJqadNznlxLYaqEdoN-qIeVNpa9huvvzYv874VOZ-s9W3Y1Mm1j2lL9hGq0w3PaPYvxfoDuPovpe6cAJIFSAt0QrF4KTya3j4Iatb0YIDA4EXn~Y7DcRgLqBXKpfcD5ukItsB-F2xICr~X5LDJS4A4maEWEKJMxyY2jW4vRCNePdtvAnqWq~g-A__&Key-Pair-Id=APKAI33AGAEAYCXFBDTA,2.0,2.0,2.0,2.0,4.0,"Pinscher, Doberman, Retriever, Labrador",Female,1 Year,59.13lbs
